split,placed,remaining,remaining_counts,first_count,second_count,first_goods,second_goods,avg_volume_utilization,avg_weight_utilization,first_volume_utilization,second_volume_utilization,max_support_pressure_kg_per_m2,g3_total,g3_floor,g3_platform,validation_error_count
"(6, 6)",274,26,"{'G2': 8, 'G3': 18}",137,137,"{'G4': 20, 'G2': 46, 'G3': 6, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 46, 'G3': 6, 'G5': 25, 'G1': 40}",0.6757003876819545,0.31466666666666665,0.6757003876819545,0.6757003876819545,150.0,12,0,12,0
"(6, 6)",266,34,"{'G1': 16, 'G3': 18}",133,133,"{'G4': 20, 'G2': 50, 'G3': 6, 'G5': 25, 'G1': 32}","{'G4': 20, 'G2': 50, 'G3': 6, 'G5': 25, 'G1': 32}",0.6547488427014431,0.304,0.6547488427014431,0.6547488427014431,150.0,12,0,12,0
"(2, 3)",284,16,{'G3': 16},142,142,"{'G4': 20, 'G2': 50, 'G3': 7, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 7, 'G5': 25, 'G1': 40}",0.692158583863653,0.3225,0.692158583863653,0.692158583863653,150.0,14,0,14,0
"(2, 3)",282,18,{'G3': 18},143,139,"{'G4': 20, 'G2': 50, 'G3': 8, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 4, 'G5': 25, 'G1': 40}",0.6848438300051203,0.32,0.6994733377221857,0.670214322288055,150.0,12,0,12,0
"(3, 2)",284,16,{'G3': 16},142,142,"{'G4': 20, 'G2': 50, 'G3': 7, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 7, 'G5': 25, 'G1': 40}",0.692158583863653,0.3225,0.692158583863653,0.692158583863653,150.0,14,0,14,0
"(3, 2)",282,18,{'G3': 18},139,143,"{'G4': 20, 'G2': 50, 'G3': 4, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 8, 'G5': 25, 'G1': 40}",0.6848438300051203,0.32,0.670214322288055,0.6994733377221857,150.0,12,0,12,0
"(4, 5)",279,21,{'G3': 21},139,140,"{'G4': 20, 'G2': 50, 'G3': 4, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 5, 'G5': 25, 'G1': 40}",0.6738716992173213,0.31625000000000003,0.670214322288055,0.6775290761465876,150.0,9,0,9,0
"(4, 5)",279,21,{'G3': 21},139,140,"{'G4': 20, 'G2': 50, 'G3': 4, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 5, 'G5': 25, 'G1': 40}",0.6738716992173213,0.31625000000000003,0.670214322288055,0.6775290761465876,150.0,9,0,9,0
"(5, 4)",279,21,{'G3': 21},140,139,"{'G4': 20, 'G2': 50, 'G3': 5, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 4, 'G5': 25, 'G1': 40}",0.6738716992173213,0.31625000000000003,0.6775290761465876,0.670214322288055,150.0,9,0,9,0
"(5, 4)",279,21,{'G3': 21},140,139,"{'G4': 20, 'G2': 50, 'G3': 5, 'G5': 25, 'G1': 40}","{'G4': 20, 'G2': 50, 'G3': 4, 'G5': 25, 'G1': 40}",0.6738716992173213,0.31625000000000003,0.6775290761465876,0.670214322288055,150.0,9,0,9,0
